Fc1c(F)c(F)c(I)c(I)c1F
Fc1c(F)c(I)c(F)c(F)c1I
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I
FC(F)(I)C(F)(F)I
BrC(Br)=C(Br)Br
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I
Fc1c(I)c(F)c(I)c(F)c1I
IC#CC#CI
FC(F)(Br)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br
Fc1c(F)c(I)c(F)c(I)c1F
Fc1ccc(I)cc1
Fc1c(F)c(Br)c(F)c(F)c1Br
Fc1c(F)c(F)c(I)c(F)c1F
Fc1c(F)c(N=Nc2c(F)c(F)c(I)c(F)c2F)c(F)c(F)c1I
Fc1c(F)c(-c2c(F)c(F)c(I)c(F)c2F)c(F)c(F)c1I
BrC(Br)=C=C=C(Br)Br
Fc1c(F)c(N=Nc2c(F)c(F)c(Br)c(F)c2F)c(F)c(F)c1Br
IC#Cc1cccc2cc3cccc(C#CI)c3cc12
Brc1cc(Br)c(Br)cc1Br
IC(I)=C(I)I
Fc1c(F)c(Br)c(F)c(Br)c1F
Clc1c(Cl)c(I)c(Cl)c(Cl)c1I
FC(F)(Br)C(F)(F)Br
IC#CI
Fc1cc(F)c(F)c(-c2c(F)c(F)cc(F)c2F)c1F
BrC#CC(c1ccccc1)(c1ccccc1)c1ccccc1
CCc1c(C)c(CC)c(C)c(CC)c1C
Fc1cc(F)cc(C#CI)c1
CCc1ccc2cc(CC)ccc2c1
Fc1cc(F)c(F)c(I)c1F
Fc1cc(F)c(F)c(Br)c1F
Fc1c(F)c(C=Cc2c(F)c(F)c(I)c(F)c2F)c(F)c(F)c1I
Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F
Cc1ccccc1Br
BrC#CC#CBr
Ic1ccc(I)cc1
Fc1c(F)c(F)c(C#CI)c(F)c1F
Fc1c(F)c(OCC2CCCCC2COc2c(F)c(F)c(I)c(F)c2F)c(F)c(F)c1I
Fc1c(F)c(F)c(I(F)F)c(F)c1F
IC#Cc1ccc(I)cc1
FC(F)(Br)C(F)(F)C(F)(F)C(F)(F)Br
FC(F)(Br)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br
IC#Cc1ccc(C#CI)cc1
Fc1ccccc1I
Fc1ccc(I)c(F)c1
Fc1ccc(F)c(I)c1
Fc1ccc(I)c(F)c1F
Fc1ccc(F)c(I)c1F
C#Cc1c(F)c(F)c(C#C)c(F)c1F
Brc1ccc(Br)cc1
Fc1cc(F)cc(I)c1
Fc1cccc(F)c1I
IC#CC#CC#CI
ClCc1ccccc1
IC(I)I
CCCCCc1ccccc1
Fc1c(F)c(F)c(Br)c(Br)c1F
Clc1cc(Cl)c(OCC#CI)cc1Cl
FC(F)(F)c1cc(C#CI)cc(C(F)(F)F)c1
ClC1=C(Cl)c2c(Cl)c(Cl)c(Cl)c3c(Cl)c(Cl)c(Cl)c1c23
Fc1ccc(C#CI)cc1
IC#Cc1ccccc1C#CI
Cc1cccc(Cl)c1Cl
Cc1ccc(Cl)cc1Cl
Cc1ccc(Br)cc1C
Ic1cccc(I)c1
Fc1c(I)cc(I)c(F)c1F
Fc1cc(I)c(F)c(F)c1F
Cc1cccc(Br)c1
Cc1cccc(Cl)c1
Cc1cccc(I)c1
CCCc1ccccc1
Fc1c(F)c(F)c(Br)c(F)c1F
Ic1ccc(-c2ccc(I)cc2)cc1
O=P(c1ccccc1)(c1ccccc1)c1ccccc1OCCOCCOc1ccccc1P(=O)(c1ccccc1)c1ccccc1
O=P(c1ccccc1)(c1ccccc1)c1ccccc1
O=P(C1CCCCC1)(C1CCCCC1)C1CCCCC1
